Country_and_Time_Period,Migration Change,% Expenditure on healthcare,Infrastructure as % of GDP,Taxing Wages,Infant Mortality,Change in Unemployment,GDP Growth,Life Expectancy
Luxembourg 2002,-0.006060606,6.8332,1.1,13.61,5.9,0.923715956,3.683523425,78.47317073
Luxembourg 2003,0.142519112,7.0819,1.1,14.18,5.1,1.125452996,4.244666606,78.14878049
Luxembourg 2004,-0.024613669,7.4491,0.9,14.55,4.9,1.937943741,4.926274688,79.12195122
Luxembourg 2005,0.123642303,7.2468,0.9,15.46,3.9,-0.927104117,4.124201705,79.43170732
Luxembourg 2006,-0.002035032,6.8112,0.8,16.03,2.6,0.691673244,4.881194704,79.28780488
Luxembourg 2007,0.148204792,6.4468,0.8,17.24,2.5,-0.666813312,6.463173267,79.38292683
Luxembourg 2008,0.065647596,6.6435,0.8,15.76,1.8,1.435282468,0.487325037,80.53902439
Luxembourg 2009,-0.128920898,7.5191,0.9,15.37,1.8,-0.463220363,-5.33368059,80.63658537
Luxembourg 2010,0.080560301,7.1748,0.9,15.93,2.5,-1.140453941,5.144673181,80.63170732
Luxembourg 2011,0.208296446,6.7821,0.9,17.99,3.4,0.842982103,2.609030403,80.98780488
Luxembourg 2012,0.017322587,6.6311,0.8,17.86,4.3,-0.035998754,-0.162966697,81.39268293
Luxembourg 2013,0.018083548,6.846461538,0.8,18.99,2.5,0.550262827,1.990206037,81.79756098
Mexico 2001,0.255534768,5.2527,0.2,10.31,20.8,0.027284963,-0.60549239,74.51097561
Mexico 2002,-0.276294549,5.4064,0.2,13.04,20,0.226347302,2.24093184,74.87376829
Mexico 2003,0.191660947,5.9454,0.3,14.16,19.1,0.090813873,3.189739917,74.69237195
Mexico 2004,0.225773938,6.0485,0.4,12.85,18.3,0.623402086,4.295714251,75.23656098
Mexico 2005,0.077411018,5.9216,0.4,12.17,17.6,-0.03226603,3.032573659,75.48553659
Mexico 2006,-0.250545137,5.7145,0.4,12.71,16.9,-0.323547785,5.001385468,75.73665854
Mexico 2007,0.04538842,5.8194,0.4,13.66,16.3,0.14489612,3.148225822,75.98439024
Mexico 2008,1.214444754,5.9325,0.4,13.12,15.7,0.136158768,1.400290149,76.22665854
Mexico 2009,0.49890027,6.373,0.5,13.47,15.1,1.404769192,-4.700339936,76.46146341
Mexico 2010,0.097601878,6.2124,0.6,13.8,14.6,-0.025414007,5.110198731,76.69029268
Mexico 2011,-0.159969442,5.9256,0.5,16.28,14.1,0.052516867,4.044614776,76.91417073
Mexico 2012,-0.174563478,6.1057,0.5,16.64,13.7,-0.300731006,4.007370613,77.13507317
Mexico 2013,0.70098338,6.2073,0.5,16.96,13.3,0.224726549,1.390831387,77.35402439
Netherlands 2001,0.034185789,7.4496,0.6,31.28,5.1,-0.51006025,1.624014155,78.1902439
Netherlands 2002,-0.083464717,7.9695,0.8,31.26,5.4,0.532078396,1.911269076,78.64268293
